"Latest: Time (s)","Latest: Potential (mV)","Latest: EKG (mV)"
0,0.0622710622711,0.00287267632083
0.005,-0.043956043956,0.00747298786802
0.01,0.0989010989011,0.0117361269935
0.015,0.124542124542,0.0245097091968
0.02,-0.032967032967,0.0408015675857
0.025,0.035409035409,0.0456222815191
0.03,0.189255189255,0.0500514348985
0.035,0.040293040293,0.0639475342201
0.04,0.01221001221,0.0719932798679
0.045,0.179487179487,0.073930954416
0.05,0.0805860805861,0.0820826389124
0.055,-0.0695970695971,0.083449847931
0.06,0.047619047619,0.0682165476991
0.065,0.100122100122,0.0539384947483
0.07,-0.0561660561661,0.0458065906329
0.075,-0.00976800976801,0.0323407726221
0.08,0.0854700854701,0.0202009819451
0.085,-0.0659340659341,0.0148963584893
0.09,-0.0915750915751,0.00317374681781
0.095,0.0500610500611,-0.0123585185241
0.1,-0.028083028083,-0.0186182255551
0.105,-0.115995115995,-0.0238939555562
0.11,-0.019536019536,-0.0349784191656
0.115,0.001221001221,-0.0410726242918
0.12,-0.108669108669,-0.0422924918763
0.125,-0.047619047619,-0.0472549513445
0.13,0.0744810744811,-0.0469463859727
0.135,-0.00732600732601,-0.0337945662255
0.14,0.045177045177,-0.0162462025136
0.145,0.396825396825,0.017518669666
0.15,0.459096459096,0.0907675626283
0.155,0.19536019536,0.179719662134
0.16,0.0622710622711,0.232380484707
0.165,-0.120879120879,0.224580498376
0.17,-0.307692307692,0.156828689541
0.175,-0.289377289377,0.0472536917751
0.18,-0.185592185592,-0.0648113191562
0.185,-0.253968253968,-0.150155724127
0.19,-0.241758241758,-0.207567802075
0.195,-0.0940170940171,-0.23586053544
0.2,-0.115995115995,-0.231430724811
0.205,-0.159951159951,-0.208964964853
0.21,-0.046398046398,-0.181605467315
0.215,-0.017094017094,-0.14708684577
0.22,-0.142857142857,-0.113276478806
0.225,-0.0940170940171,-0.0940518048521
0.23,0.023199023199,-0.0814361585971
0.235,-0.0915750915751,-0.0666257188637
0.24,-0.117216117216,-0.0598337314334
0.245,0.00854700854701,-0.0600974140097
0.25,-0.0549450549451,-0.0562910155986
0.255,-0.135531135531,-0.0549591937318
0.26,-0.032967032967,-0.0607228549309
0.265,0,-0.0616464279377
0.27,-0.131868131868,-0.0583293523931
0.275,-0.0915750915751,-0.0623257746098
0.28,0.021978021978,-0.0663089395666
0.285,-0.0927960927961,-0.0625097087953
0.29,-0.123321123321,-0.0623433004203
0.295,-0.003663003663,-0.0665853068156
0.3,-0.0537240537241,-0.064890151675
0.305,-0.144078144078,-0.06385479531
0.31,-0.040293040293,-0.0691929940918
0.315,-0.00854700854701,-0.0698088499951
0.32,-0.111111111111,-0.0650032274176
0.325,-0.0537240537241,-0.063769087233
0.33,0.046398046398,-0.0593370954625
0.335,-0.0525030525031,-0.0468276759493
0.34,-0.0732600732601,-0.0381177245964
0.345,0.0622710622711,-0.0331089291346
0.35,0.004884004884,-0.0219450025799
0.355,-0.0940170940171,-0.0134188825813
0.36,0.00610500610501,-0.0149168965568
0.365,0.0647130647131,-0.0136896426958
0.37,-0.0793650793651,-0.00796891129109
0.375,-0.032967032967,-0.0095429112411
0.38,0.0708180708181,-0.0119920430945
0.385,-0.0598290598291,-0.00873061840832
0.39,-0.0842490842491,-0.0116552147431
0.395,0.0561660561661,-0.0188849678922
0.4,-0.019536019536,-0.0185615696509
0.405,-0.136752136752,-0.0204974485025
0.41,-0.0695970695971,-0.0343963155054
0.415,-0.0647130647131,-0.050600121587
0.42,-0.197802197802,-0.0675385231996
0.425,-0.167277167277,-0.0923584124031
0.43,-0.0818070818071,-0.115854971931
0.435,-0.192918192918,-0.13019675018
0.44,-0.233211233211,-0.145557059732
0.445,-0.137973137973,-0.16303373235
0.45,-0.167277167277,-0.172749964931
0.455,-0.257631257631,-0.179334996275
0.46,-0.173382173382,-0.188966626711
0.465,-0.124542124542,-0.192461307371
0.47,-0.227106227106,-0.188631643231
0.475,-0.194139194139,-0.187595479576
0.48,-0.105006105006,-0.185702333605
0.485,-0.178266178266,-0.177372100688
0.49,-0.196581196581,-0.17090545744
0.495,-0.0915750915751,-0.166773929968
0.5,-0.123321123321,-0.157174384986
0.505,-0.199023199023,-0.148234134943
0.51,-0.100122100122,-0.145154415683
0.515,-0.0671550671551,-0.138371741868
0.52,-0.189255189255,-0.129048053019
0.525,-0.131868131868,-0.127292336478
0.53,-0.01221001221,-0.124400536027
0.535,-0.100122100122,-0.111851696748
0.54,-0.124542124542,-0.100586590999
0.545,-0.001221001221,-0.0926511564794
0.55,-0.0512820512821,-0.079875493473
0.555,-0.152625152625,-0.0706817314432
0.56,-0.042735042735,-0.0715363488299
0.565,0.017094017094,-0.0689514419617
0.57,-0.101343101343,-0.0600261648348
0.575,-0.0732600732601,-0.0565014648736
0.58,0.037851037851,-0.0540301584275
0.585,-0.0940170940171,-0.047069229374
0.59,-0.112332112332,-0.0470705079232
0.595,0.032967032967,-0.0515658621894
0.6,-0.01221001221,-0.0469651231918
0.605,-0.125763125763,-0.0414434711005
0.61,-0.00854700854701,-0.0436413250352
0.615,0.0537240537241,-0.0407811146453
0.62,-0.0940170940171,-0.0316238949879
0.625,-0.0720390720391,-0.0308040539909
0.63,0.0537240537241,-0.0332220350556
0.635,-0.0622710622711,-0.0295200520543
0.64,-0.0927960927961,-0.0297999349312
0.645,0.043956043956,-0.0338452927285
0.65,-0.019536019536,-0.0307160115471
0.655,-0.135531135531,-0.0295360404803
0.66,-0.01221001221,-0.0374746058712
0.665,0.0622710622711,-0.0389699640048
0.67,-0.107448107448,-0.0322890728189
0.675,-0.0757020757021,-0.0335782628197
0.68,0.0549450549451,-0.0374228059141
0.685,-0.0537240537241,-0.0333093051365
0.69,-0.0915750915751,-0.0317863464552
0.695,0.046398046398,-0.0339589008857
0.7,-0.00854700854701,-0.0290990104809
0.705,-0.115995115995,-0.0253385137923
0.71,-0.001221001221,-0.0299661536516
0.715,0.0610500610501,-0.0293598812589
0.72,-0.102564102564,-0.02279910735
0.725,-0.0744810744811,-0.0254479134395
0.73,0.0744810744811,-0.0302222093314
0.735,-0.0525030525031,-0.0259795607961
0.74,-0.101343101343,-0.0251823530615
0.745,0.034188034188,-0.0303386318209
0.75,-0.004884004884,-0.0290223863647
0.755,-0.101343101343,-0.026568220967
0.76,0.00976800976801,-0.0295836445884
0.765,0.0549450549451,-0.0268468731834
0.77,-0.105006105006,-0.0198709931137
0.775,-0.0622710622711,-0.0227996346727
0.78,0.0830280830281,-0.0267920618937
0.785,-0.040293040293,-0.0208827187619
0.79,-0.0818070818071,-0.0177842558338
0.795,0.0622710622711,-0.0195126452223
0.8,-0.002442002442,-0.0149032837629
0.805,-0.112332112332,-0.0124209964438
0.81,-0.004884004884,-0.0196102928347
0.815,0.0732600732601,-0.0217805236519
0.82,-0.0683760683761,-0.015449151298
0.825,-0.034188034188,-0.0139906750699
0.83,0.0989010989011,-0.0124378549864
0.835,-0.045177045177,-0.00391531870014
0.84,-0.0903540903541,-0.0027752563405
0.845,0.0512820512821,-0.00975720851146
0.85,-0.00610500610501,-0.0111089126473
0.855,-0.120879120879,-0.0134977087513
0.86,-0.032967032967,-0.0251370603292
0.865,0.010989010989,-0.0343340503817
0.87,-0.118437118437,-0.0384923367544
0.875,-0.0805860805861,-0.0475726230907
0.88,0.0561660561661,-0.0535678142575
0.885,-0.0671550671551,-0.048265086028
0.89,-0.108669108669,-0.0453689467699
0.895,0.028083028083,-0.0474014521512
0.9,-0.014652014652,-0.0427521897992
0.905,-0.120879120879,-0.0382093821132
0.91,0.004884004884,-0.0405278623436
0.915,0.124542124542,-0.0335700291395
0.92,-0.003663003663,-0.0124064655931
0.925,0.13431013431,0.0118947236606
0.93,0.449328449328,0.0546027329727
0.935,0.433455433455,0.133180075701
0.94,0.251526251526,0.219573877744
0.945,0.130647130647,0.270775838478
0.95,-0.141636141636,0.263115483719
0.955,-0.30525030525,0.189673441811
0.96,-0.239316239316,0.0728163229671
0.965,-0.181929181929,-0.0426466773541
0.97,-0.258852258852,-0.131330174138
0.975,-0.196581196581,-0.192055820913
0.98,-0.04884004884,-0.218813602981
0.985,-0.105006105006,-0.210015268976
0.99,-0.124542124542,-0.184621283164
0.995,0.018315018315,-0.153554481539
1,0.00854700854701,-0.113601722651
1.005,-0.102564102564,-0.0760878424397
1.01,-0.00732600732601,-0.0530043867055
1.015,0.0573870573871,-0.0346309315352
1.02,-0.0842490842491,-0.0181340795759
1.025,-0.032967032967,-0.0133210792547
1.03,0.10989010989,-0.0103546757921
1.035,-0.035409035409,-4.96502438774E-07
1.04,-0.0695970695971,0.00368373252974
1.045,0.0964590964591,0.00121100542468
1.05,0.039072039072,0.00726291375359
1.055,-0.0793650793651,0.01329261609
1.06,0.039072039072,0.0100876670257
1.065,0.0989010989011,0.0111561437556
1.07,-0.0695970695971,0.0173398187986
1.075,-0.025641025641,0.0141397002184
1.08,0.131868131868,0.0104636262116
1.085,-0.001221001221,0.0176522997124
1.09,-0.0659340659341,0.0208594510297
1.095,0.0854700854701,0.0163908785468
1.1,0.0573870573871,0.0186601060846
1.105,-0.0598290598291,0.0228104461415
1.11,0.0708180708181,0.0210367751287
1.115,0.142857142857,0.0266467701818
1.12,-0.040293040293,0.0390774698367
1.125,0.002442002442,0.0409655139192
1.13,0.199023199023,0.0418826413958
1.135,0.0610500610501,0.0558968099819
1.14,-0.01221001221,0.066725394915
1.145,0.174603174603,0.0694829433417
1.15,0.140415140415,0.0800414976313
1.155,-0.015873015873,0.0907422049323
1.16,0.115995115995,0.0896247035217
1.165,0.194139194139,0.0914627738362
1.17,-0.010989010989,0.0982454916036
1.175,-0.002442002442,0.0912818000512
1.18,0.148962148962,0.0771526371393
1.185,-0.00854700854701,0.069203823038
1.19,-0.0903540903541,0.0544396282648
1.195,0.040293040293,0.0302609315988
1.2,-0.021978021978,0.0113210858138
1.205,-0.164835164835,-0.00785593463752
1.21,-0.0854700854701,-0.0360028555136
1.215,-0.047619047619,-0.0608890230377
1.22,-0.180708180708,-0.07856545138
1.225,-0.166056166056,-0.0992914824591
1.23,-0.0757020757021,-0.118312425681
1.235,-0.162393162393,-0.12797180246
1.24,-0.211233211233,-0.137327943034
1.245,-0.113553113553,-0.148807701884
1.25,-0.131868131868,-0.153299220735
1.255,-0.224664224664,-0.154989531856
1.26,-0.133089133089,-0.160172349119
1.265,-0.0720390720391,-0.159131906492
1.27,-0.188034188034,-0.150716619534
1.275,-0.163614163614,-0.146986381698
1.28,-0.0647130647131,-0.144784137073
