"Latest: Time (s)","Latest: Potential (mV)","Latest: EKG (mV)"
0,-0.114774114774,-0.00529473674819
0.005,-0.04884004884,-0.0197642830463
0.01,0.030525030525,-0.0316262560225
0.015,-0.0720390720391,-0.0343842371021
0.02,-0.0695970695971,-0.0378448666651
0.025,0.045177045177,-0.0402239092245
0.03,-0.039072039072,-0.0348164505893
0.035,-0.0989010989011,-0.0318157283893
0.04,0.015873015873,-0.0346642535384
0.045,0.015873015873,-0.0320344285696
0.05,-0.100122100122,-0.0272518852198
0.055,-0.035409035409,-0.0300099151758
0.06,0.046398046398,-0.0315740548295
0.065,-0.0757020757021,-0.0273619504574
0.07,-0.0757020757021,-0.0285777556783
0.075,0.0500610500611,-0.0320697431562
0.08,-0.030525030525,-0.0281510400855
0.085,-0.100122100122,-0.0261548969097
0.09,0.013431013431,-0.0303730827861
0.095,0.030525030525,-0.0288144225767
0.1,-0.0842490842491,-0.0231814253466
0.105,-0.021978021978,-0.0235122799267
0.11,0.0708180708181,-0.0219837112546
0.115,-0.0561660561661,-0.0142463463013
0.12,-0.0549450549451,-0.0122620089688
0.125,0.0879120879121,-0.0126283404496
0.13,0.00610500610501,-0.00462022773014
0.135,-0.0561660561661,0.00219858934803
0.14,0.0757020757021,0.00373829280863
0.145,0.0793650793651,0.0118604801718
0.15,-0.0537240537241,0.0220028840431
0.155,0.014652014652,0.0223113147597
0.16,0.0866910866911,0.0212186364535
0.165,-0.0695970695971,0.0222295458492
0.17,-0.0842490842491,0.0123161449133
0.175,0.021978021978,-0.00480192746116
0.18,-0.0586080586081,-0.0168972045847
0.185,-0.123321123321,-0.0298103465115
0.19,-0.021978021978,-0.0457560001408
0.195,-0.015873015873,-0.0536040887563
0.2,-0.118437118437,-0.0555145670429
0.205,-0.0573870573871,-0.0605172701802
0.21,0.014652014652,-0.0618931084938
0.215,-0.0940170940171,-0.0567814987533
0.22,-0.0976800976801,-0.0562944061224
0.225,0.013431013431,-0.0583968973874
0.23,-0.0622710622711,-0.0547947534161
0.235,-0.1221001221,-0.0536705065058
0.24,-0.00610500610501,-0.057633627971
0.245,0.00610500610501,-0.054862100729
0.25,-0.0903540903541,-0.0472620415037
0.255,-0.00732600732601,-0.0431958278081
0.26,0.120879120879,-0.0324929578078
0.265,-0.003663003663,-0.0105875200891
0.27,0.0671550671551,0.0104759217974
0.275,0.316239316239,0.0395177647967
0.28,0.202686202686,0.0881344389149
0.285,-0.00854700854701,0.128676472428
0.29,-0.0512820512821,0.131067198926
0.295,-0.1221001221,0.0972990686899
0.3,-0.200244200244,0.0398684068958
0.305,-0.117216117216,-0.0252488422149
0.31,-0.021978021978,-0.0736814968327
0.315,-0.111111111111,-0.0964659461659
0.32,-0.103785103785,-0.105924216622
0.325,0.017094017094,-0.104942775493
0.33,-0.047619047619,-0.0905026840571
0.335,-0.105006105006,-0.0751497107453
0.34,0.00854700854701,-0.0652224695422
0.345,0.017094017094,-0.0515717758364
0.35,-0.0940170940171,-0.0377075352401
0.355,-0.031746031746,-0.0332811456319
0.36,0.04884004884,-0.0299760179757
0.365,-0.0708180708181,-0.0230444327804
0.37,-0.0708180708181,-0.0229308857239
0.375,0.0561660561661,-0.0258535238593
0.38,-0.023199023199,-0.0216753296747
0.385,-0.0903540903541,-0.0193383356908
0.39,0.031746031746,-0.0225626294739
0.395,0.039072039072,-0.0194216877156
0.4,-0.0842490842491,-0.0131102375861
0.405,-0.017094017094,-0.0143462320369
0.41,0.0793650793651,-0.0141093026583
0.415,-0.043956043956,-0.0068830687243
0.42,-0.045177045177,-0.00453739240384
0.425,0.0940170940171,-0.00440527829183
0.43,0.00854700854701,0.00345713709914
0.435,-0.0610500610501,0.00899543979868
0.44,0.0695970695971,0.00803156992503
0.445,0.0805860805861,0.0133979920177
0.45,-0.0525030525031,0.0217887100639
0.455,0.030525030525,0.0221763929694
0.46,0.145299145299,0.025372112602
0.465,0.004884004884,0.0373012669595
0.47,0.00854700854701,0.0438328886069
0.475,0.173382173382,0.0479691773617
0.48,0.0842490842491,0.0614295516073
0.485,0,0.0724856609804
0.49,0.156288156288,0.0756440305749
0.495,0.161172161172,0.085093844432
0.5,-0.002442002442,0.09600677377
0.505,0.0720390720391,0.0941911705234
0.51,0.15873015873,0.0897738396026
0.515,-0.018315018315,0.0881590301447
0.52,-0.04884004884,0.074476726568
0.525,0.045177045177,0.0507376545656
