"Latest: Time (s)","Latest: Potential (mV)","Latest: EKG (mV)"
0,0.117216117216,0.00540739072156
0.005,0.102564102564,0.0226152492599
0.01,0.0854700854701,0.0457183694049
0.015,0.0781440781441,0.0648666556973
0.02,0.026862026862,0.0747062913956
0.025,-0.004884004884,0.0716182078578
0.03,0.003663003663,0.0578415013932
0.035,-0.003663003663,0.0403362907984
0.04,-0.025641025641,0.0229320231952
0.045,-0.034188034188,0.00602893915761
0.05,-0.019536019536,-0.00863511749258
0.055,-0.018315018315,-0.0184781898768
0.06,-0.00854700854701,-0.0228947348277
0.065,-0.023199023199,-0.0235458395373
0.07,-0.037851037851,-0.0238020637505
0.075,-0.015873015873,-0.0248306863248
0.08,0.013431013431,-0.0233456796523
0.085,0.013431013431,-0.0171808823709
0.09,0.032967032967,-0.00759900016562
0.095,0.20757020757,0.011752550916
0.1,0.446886446886,0.0603888963739
0.105,0.627594627595,0.152924464922
0.11,0.758241758242,0.283714743475
0.115,0.661782661783,0.425125328786
0.12,0.321123321123,0.527077104778
0.125,-0.0757020757021,0.536623117678
0.13,-0.236874236874,0.439198413517
0.135,-0.294261294261,0.271317746837
0.14,-0.318681318681,0.0859080876432
0.145,-0.275946275946,-0.0768384210666
0.15,-0.224664224664,-0.193225673335
0.155,-0.212454212454,-0.258070079943
0.16,-0.162393162393,-0.279797847356
0.165,-0.0915750915751,-0.267861911717
0.17,-0.0610500610501,-0.231320748274
0.175,-0.043956043956,-0.182549379203
0.18,-0.002442002442,-0.131862242082
0.185,0.01221001221,-0.0842913259548
0.19,0,-0.044327438439
0.195,0.018315018315,-0.0150849163752
0.2,0.037851037851,0.00551643751794
0.205,0.032967032967,0.0204885092656
0.21,0.025641025641,0.0300419305376
0.215,0.0586080586081,0.0357871238921
0.22,0.0647130647131,0.0415845699577
0.225,0.0573870573871,0.0480840645949
0.23,0.0915750915751,0.05491236843
0.235,0.0744810744811,0.0626701483282
0.24,0.018315018315,0.0668624930732
0.245,0.0512820512821,0.0640778795587
0.25,0.0989010989011,0.0610231179257
0.255,0.0854700854701,0.0636939175269
0.26,0.0695970695971,0.0689130909602
0.265,0.0830280830281,0.0729580046717
0.27,0.0586080586081,0.0750594095936
0.275,0.0586080586081,0.0741837241119
0.28,0.0976800976801,0.0726813807759
0.285,0.105006105006,0.0750909517282
0.29,0.0708180708181,0.0798810503842
0.295,0.100122100122,0.0834935165094
0.3,0.120879120879,0.0879443087627
0.305,0.0927960927961,0.0939575523291
0.31,0.0964590964591,0.0981651198689
0.315,0.153846153846,0.102398032751
0.32,0.161172161172,0.111664002813
0.325,0.140415140415,0.124061201839
0.33,0.162393162393,0.135147487193
0.335,0.169719169719,0.14495150254
0.34,0.147741147741,0.152991698063
0.345,0.152625152625,0.157216288925
0.35,0.205128205128,0.160643557324
0.355,0.186813186813,0.16727079251
0.36,0.199023199023,0.175544426006
0.365,0.238095238095,0.185185166354
0.37,0.197802197802,0.196028694131
0.375,0.156288156288,0.201632606482
0.38,0.188034188034,0.199401013544
0.385,0.18315018315,0.194516190648
0.39,0.141636141636,0.188326627737
0.395,0.147741147741,0.178863612377
0.4,0.133089133089,0.167509085332
